timestamp,can_id,message_count,steering_angle_deg,steering_speed,steering_status,msg_count,checksum,raw_data_hex
1755699456.770539,688,1,-186.8,0.0,7,8,7,B4F8000778
1755699456.780267,688,2,-186.8,0.0,7,9,6,B4F8000769
1755699456.790297,688,3,-186.8,0.0,7,10,5,B4F800075A
1755699456.800267,688,4,-186.8,0.0,7,11,4,B4F800074B
1755699456.810294,688,5,-186.8,0.0,7,12,3,B4F800073C
1755699456.820504,688,6,-186.8,0.0,7,13,2,B4F800072D
1755699456.830544,688,7,-186.8,0.0,7,14,1,B4F800071E
1755699456.840504,688,8,-186.8,0.0,7,15,0,B4F800070F
1755699456.850541,688,9,-186.8,0.0,7,0,15,B4F80007F0
1755699456.860513,688,10,-186.8,0.0,7,1,14,B4F80007E1
1755699456.870544,688,11,-186.9,0.0,7,2,10,B3F80007A2
1755699456.880516,688,12,-186.8,0.0,7,3,12,B4F80007C3
1755699456.890538,688,13,-186.8,0.0,7,4,11,B4F80007B4
1755699456.900515,688,14,-186.8,0.0,7,5,10,B4F80007A5
1755699456.910544,688,15,-186.9,0.0,7,6,14,B3F80007E6
1755699456.920517,688,16,-186.8,0.0,7,7,8,B4F8000787
1755699456.93054,688,17,-186.8,0.0,7,8,7,B4F8000778
1755699456.940518,688,18,-186.8,0.0,7,9,6,B4F8000769
1755699456.950543,688,19,-186.8,0.0,7,10,5,B4F800075A
1755699456.960514,688,20,-186.8,0.0,7,11,4,B4F800074B
1755699456.970537,688,21,-186.8,0.0,7,12,3,B4F800073C
1755699456.980523,688,22,-186.8,0.0,7,13,2,B4F800072D
1755699456.990546,688,23,-186.8,0.0,7,14,1,B4F800071E
1755699457.000519,688,24,-186.8,0.0,7,15,0,B4F800070F
1755699457.010547,688,25,-186.8,0.0,7,0,15,B4F80007F0
1755699457.020528,688,26,-186.8,0.0,7,1,14,B4F80007E1
1755699457.030539,688,27,-186.8,0.0,7,2,13,B4F80007D2
1755699457.04054,688,28,-186.8,0.0,7,3,12,B4F80007C3
1755699457.050538,688,29,-186.9,0.0,7,4,12,B3F80007C4
1755699457.060503,688,30,-186.8,0.0,7,5,10,B4F80007A5
1755699457.070554,688,31,-186.9,0.0,7,6,14,B3F80007E6
1755699457.080524,688,32,-186.8,0.0,7,7,8,B4F8000787
1755699457.090544,688,33,-186.8,0.0,7,8,7,B4F8000778
1755699457.100533,688,34,-186.8,0.0,7,9,6,B4F8000769
1755699457.110544,688,35,-186.9,0.0,7,10,2,B3F800072A
1755699457.120516,688,36,-186.8,0.0,7,11,4,B4F800074B
1755699457.130544,688,37,-186.9,0.0,7,12,4,B3F800074C
1755699457.140523,688,38,-186.8,0.0,7,13,2,B4F800072D
1755699457.15056,688,39,-186.8,0.0,7,14,1,B4F800071E
1755699457.160525,688,40,-186.8,0.0,7,15,0,B4F800070F
1755699457.170547,688,41,-186.9,0.0,7,0,8,B3F8000780
1755699457.180528,688,42,-186.8,0.0,7,1,14,B4F80007E1
1755699457.190561,688,43,-186.9,0.0,7,2,10,B3F80007A2
1755699457.200528,688,44,-186.8,0.0,7,3,12,B4F80007C3
1755699457.210544,688,45,-187.0,0.0,7,4,13,B2F80007D4
1755699457.220529,688,46,-186.8,0.0,7,5,10,B4F80007A5
1755699457.230553,688,47,-186.8,0.0,7,6,9,B4F8000796
1755699457.240532,688,48,-186.8,0.0,7,7,8,B4F8000787
1755699457.250566,688,49,-186.8,0.0,7,8,7,B4F8000778
1755699457.260525,688,50,-186.8,0.0,7,9,6,B4F8000769
1755699457.270544,688,51,-186.8,0.0,7,10,5,B4F800075A
1755699457.280531,688,52,-186.8,0.0,7,11,4,B4F800074B
1755699457.290544,688,53,-186.8,0.0,7,12,3,B4F800073C
1755699457.300526,688,54,-186.8,0.0,7,13,2,B4F800072D
1755699457.310562,688,55,-186.8,0.0,7,14,1,B4F800071E
1755699457.320541,688,56,-186.8,0.0,7,15,0,B4F800070F
1755699457.330567,688,57,-186.8,0.0,7,0,15,B4F80007F0
1755699457.340531,688,58,-186.8,0.0,7,1,14,B4F80007E1
1755699457.35057,688,59,-186.8,0.0,7,2,13,B4F80007D2
1755699457.360542,688,60,-186.8,0.0,7,3,12,B4F80007C3
1755699457.370566,688,61,-186.8,0.0,7,4,11,B4F80007B4
1755699457.380536,688,62,-186.8,0.0,7,5,10,B4F80007A5
1755699457.390554,688,63,-186.8,0.0,7,6,9,B4F8000796
1755699457.400544,688,64,-186.8,0.0,7,7,8,B4F8000787
1755699457.410569,688,65,-186.8,0.0,7,8,7,B4F8000778
1755699457.420535,688,66,-186.9,0.0,7,9,1,B3F8000719
1755699457.43056,688,67,-186.8,0.0,7,10,5,B4F800075A
1755699457.440541,688,68,-186.8,0.0,7,11,4,B4F800074B
1755699457.450568,688,69,-186.8,0.0,7,12,3,B4F800073C
1755699457.460554,688,70,-186.9,0.0,7,13,5,B3F800075D
1755699457.470576,688,71,-186.8,0.0,7,14,1,B4F800071E
1755699457.48054,688,72,-186.8,0.0,7,15,0,B4F800070F
1755699457.490576,688,73,-186.8,0.0,7,0,15,B4F80007F0
1755699457.500554,688,74,-187.0,0.0,7,1,8,B2F8000781
1755699457.510575,688,75,-186.8,0.0,7,2,13,B4F80007D2
1755699457.520554,688,76,-186.8,0.0,7,3,12,B4F80007C3
1755699457.530553,688,77,-187.0,0.0,7,4,13,B2F80007D4
1755699457.540543,688,78,-186.8,0.0,7,5,10,B4F80007A5
1755699457.550582,688,79,-186.8,0.0,7,6,9,B4F8000796
1755699457.560554,688,80,-186.8,0.0,7,7,8,B4F8000787
