Steering System Monitor Log
Started: 2025-08-20T15:17:36.768104
Interface: can3
================================================================================

[2025-08-20T15:17:37.251185] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.260659] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.270679] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.271158] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.280665] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.290679] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.291172] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.300672] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.310727] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.311205] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.320686] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.330712] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.331183] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.340669] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.350710] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.351190] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.360679] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.370707] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.371187] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.380672] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.390692] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.391184] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.400682] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.410707] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.411199] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.420671] Angle correlation error: SAS=-186.9, MDPS=0.0
[2025-08-20T15:17:37.430696] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.431183] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:37.440674] Angle correlation error: SAS=-186.8, MDPS=0.0
