timestamp,can_id,message_count,serial_number,raw_data_hex
1755699635.02333,1173,1,174764039943954,00001237856CF29E
1755699635.122999,1173,2,174764039943954,00001237856CF29E
1755699635.222803,1173,3,174764039943954,00001237856CF29E
1755699635.322872,1173,4,174764039943954,00001237856CF29E
1755699635.422957,1173,5,174764039943954,00001237856CF29E
1755699635.522719,1173,6,174764039943954,00001237856CF29E
1755699635.622749,1173,7,174764039943954,00001237856CF29E
1755699635.72295,1173,8,174764039943954,00001237856CF29E
1755699635.822725,1173,9,174764039943954,00001237856CF29E
1755699635.922731,1173,10,174764039943954,00001237856CF29E
1755699636.022751,1173,11,174764039943954,00001237856CF29E
1755699636.122441,1173,12,174764039943954,00001237856CF29E
1755699636.222747,1173,13,174764039943954,00001237856CF29E
1755699636.322448,1173,14,174764039943954,00001237856CF29E
1755699636.422511,1173,15,174764039943954,00001237856CF29E
1755699636.522743,1173,16,174764039943954,00001237856CF29E
1755699636.6225,1173,17,174764039943954,00001237856CF29E
1755699636.722441,1173,18,174764039943954,00001237856CF29E
1755699636.822721,1173,19,174764039943954,00001237856CF29E
1755699636.92249,1173,20,174764039943954,00001237856CF29E
1755699637.022749,1173,21,174764039943954,00001237856CF29E
1755699637.122768,1173,22,174764039943954,00001237856CF29E
1755699637.222436,1173,23,174764039943954,00001237856CF29E
1755699637.322522,1173,24,174764039943954,00001237856CF29E
1755699637.422481,1173,25,174764039943954,00001237856CF29E
1755699637.52273,1173,26,174764039943954,00001237856CF29E
1755699637.622743,1173,27,174764039943954,00001237856CF29E
1755699637.722766,1173,28,174764039943954,00001237856CF29E
1755699637.822868,1173,29,174764039943954,00001237856CF29E
1755699637.922693,1173,30,174764039943954,00001237856CF29E
1755699638.022756,1173,31,174764039943954,00001237856CF29E
1755699638.12275,1173,32,174764039943954,00001237856CF29E
1755699638.222751,1173,33,174764039943954,00001237856CF29E
1755699638.322721,1173,34,174764039943954,00001237856CF29E
1755699638.422868,1173,35,174764039943954,00001237856CF29E
1755699638.522734,1173,36,174764039943954,00001237856CF29E
1755699638.62274,1173,37,174764039943954,00001237856CF29E
1755699638.722721,1173,38,174764039943954,00001237856CF29E
1755699638.822872,1173,39,174764039943954,00001237856CF29E
1755699638.92187,1173,40,174764039943954,00001237856CF29E
1755699639.021795,1173,41,174764039943954,00001237856CF29E
1755699639.121922,1173,42,174764039943954,00001237856CF29E
1755699639.222673,1173,43,174764039943954,00001237856CF29E
1755699639.321792,1173,44,174764039943954,00001237856CF29E
1755699639.422716,1173,45,174764039943954,00001237856CF29E
1755699639.522751,1173,46,174764039943954,00001237856CF29E
1755699639.622773,1173,47,174764039943954,00001237856CF29E
1755699639.721887,1173,48,174764039943954,00001237856CF29E
1755699639.821636,1173,49,174764039943954,00001237856CF29E
1755699639.921638,1173,50,174764039943954,00001237856CF29E
