timestamp,can_id,message_count,yaw_rate_degs,yaw_rate_status,lateral_accel_g,lateral_accel_status,mcu_status,msg_count,crc,raw_data_hex
1755699636.410378,304,140,-0.21000000000000796,0,-0.0003823949999999243,0,0,0,30,D67FFD7F0000001E
1755699636.42067,304,141,-0.22999999999998977,0,-0.0003823949999999243,0,0,1,106,D27FFD7F0000016A
1755699637.90028,304,289,-0.3100000000000023,0,-0.0007647899999998486,0,0,5,172,C27FFA7F000005AC
1755699637.910093,304,290,-0.30000000000001137,0,-0.0015295799999996973,0,0,6,78,C47FF47F0000064E
1755699638.010259,304,300,-0.3100000000000023,0,-0.0007647899999998486,0,0,0,197,C27FFA7F000000C5
1755699638.349979,304,334,-0.3100000000000023,0,-0.0008922550000001195,0,0,2,65,C27FF97F00000241
1755699638.360071,304,335,-0.3199999999999932,0,-0.001784510000000239,0,0,3,47,C07FF27F0000032F
1755699638.369994,304,336,-0.3199999999999932,0,-0.001784510000000239,0,0,4,124,C07FF27F0000047C
1755699638.380066,304,337,-0.30000000000001137,0,-0.0015295799999996973,0,0,5,105,C47FF47F00000569
1755699638.389965,304,338,-0.30000000000001137,0,-0.0012746500000000438,0,0,6,154,C47FF67F0000069A
1755699638.400068,304,339,-0.3199999999999932,0,-0.002294370000000434,0,0,7,119,C07FEE7F00000777
1755699638.409966,304,340,-0.3199999999999932,0,-0.0031866249999996654,0,0,8,209,C07FE77F000008D1
1755699638.420317,304,341,-0.3199999999999932,0,-0.0025493000000000876,0,0,9,5,C07FEC7F00000905
1755699638.429968,304,342,-0.3300000000000125,0,-0.0026767650000003584,0,0,10,32,BE7FEB7F00000A20
1755699638.440083,304,343,-0.3499999999999943,0,-0.002294370000000434,0,0,11,139,BA7FEE7F00000B8B
1755699638.449952,304,344,-0.3499999999999943,0,-0.0015295799999996973,0,0,12,149,BA7FF47F00000C95
1755699638.460073,304,345,-0.36000000000001364,0,-0.0019119749999996216,0,0,13,237,B87FF17F00000DED
1755699638.469945,304,346,-0.37000000000000455,0,-0.001147184999999773,0,0,14,170,B67FF77F00000EAA
1755699638.620323,304,361,-0.4399999999999977,0,-0.0003823949999999243,0,0,13,150,A87FFD7F00000D96
1755699638.800093,304,379,-0.7199999999999989,0,-0.0012746500000000438,0,0,15,113,707FF67F00000F71
1755699638.809977,304,380,-0.7299999999999898,0,-0.0026767650000003584,0,0,0,52,6E7FEB7F00000034
1755699638.82034,304,381,-0.7299999999999898,0,-0.0021669050000001633,0,0,1,156,6E7FEF7F0000019C
1755699638.829995,304,382,-0.6899999999999977,0,-0.0021669050000001633,0,0,2,208,767FEF7F000002D0
1755699638.840091,304,383,-0.6100000000000136,0,-0.0021669050000001633,0,0,3,100,867FEF7F00000364
1755699638.85004,304,384,-0.5500000000000114,0,-0.0008922550000001195,0,0,4,104,927FF97F00000468
1755699639.009873,304,400,-0.6299999999999955,0,-0.001784510000000239,0,0,4,24,827FF27F00000418
1755699639.020123,304,401,-0.710000000000008,0,-0.0035690199999995897,0,0,5,35,727FE47F00000523
1755699639.029866,304,402,-0.789999999999992,0,-0.004716205000000251,0,0,6,238,627FDB7F000006EE
1755699639.03988,304,403,-0.8400000000000034,0,-0.0035690199999995897,0,0,7,30,587FE47F0000071E
1755699639.149995,304,414,-0.8199999999999932,0,-0.0012746500000000438,0,0,2,36,5C7FF67F00000224
1755699639.160129,304,415,-0.7299999999999898,0,-0.0021669050000001633,0,0,3,166,6E7FEF7F000003A6
1755699639.170017,304,416,-0.6299999999999955,0,-0.0025493000000000876,0,0,4,224,827FEC7F000004E0
