timestamp,can_id,message_count,tcs_request,msr_c_request,tcs_passive,abs_active,esp_control_active,tcs_control_active,abs_defect,esp_defect,tcs_defect,driver_braking,brake_light_active,hac_control_active,tqi_tcs,tqi_msr,alive_counter,checksum,raw_data_hex
1755699741.514413,339,1,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,14,146,248010FF00FFE092
1755699741.524426,339,2,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,0,178,248010FF00FF00B2
1755699741.534407,339,3,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,1,194,248010FF00FF10C2
1755699741.544435,339,4,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,2,210,248010FF00FF20D2
1755699741.554401,339,5,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,3,226,248010FF00FF30E2
1755699741.564439,339,6,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,4,242,248010FF00FF40F2
1755699741.574412,339,7,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,5,2,248010FF00FF5002
1755699741.584441,339,8,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,6,18,248010FF00FF6012
1755699741.594425,339,9,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,7,34,248010FF00FF7022
1755699741.604622,339,10,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,8,50,248010FF00FF8032
1755699741.614654,339,11,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,9,66,248010FF00FF9042
1755699741.624444,339,12,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,10,82,248010FF00FFA052
1755699741.634616,339,13,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,11,98,248010FF00FFB062
1755699741.644436,339,14,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,12,114,248010FF00FFC072
1755699741.65442,339,15,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,13,130,248010FF00FFD082
1755699741.664446,339,16,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,14,146,248010FF00FFE092
1755699741.674424,339,17,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,0,178,248010FF00FF00B2
1755699741.68445,339,18,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,1,194,248010FF00FF10C2
1755699741.694418,339,19,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,2,210,248010FF00FF20D2
1755699741.70452,339,20,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,3,226,248010FF00FF30E2
1755699741.714423,339,21,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,4,242,248010FF00FF40F2
1755699741.724451,339,22,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,5,2,248010FF00FF5002
1755699741.734421,339,23,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,6,18,248010FF00FF6012
1755699741.744447,339,24,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,7,34,248010FF00FF7022
1755699741.754423,339,25,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,8,50,248010FF00FF8032
1755699741.764459,339,26,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,9,66,248010FF00FF9042
1755699741.774433,339,27,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,10,82,248010FF00FFA052
1755699741.784443,339,28,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,11,98,248010FF00FFB062
1755699741.794422,339,29,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,12,114,248010FF00FFC072
1755699741.804683,339,30,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,13,130,248010FF00FFD082
1755699741.814647,339,31,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,14,146,248010FF00FFE092
1755699741.824444,339,32,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,0,178,248010FF00FF00B2
1755699741.834422,339,33,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,1,194,248010FF00FF10C2
1755699741.844445,339,34,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,2,210,248010FF00FF20D2
1755699741.854433,339,35,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,3,226,248010FF00FF30E2
1755699741.864468,339,36,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,4,242,248010FF00FF40F2
1755699741.874423,339,37,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,5,2,248010FF00FF5002
1755699741.884459,339,38,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,6,18,248010FF00FF6012
1755699741.894478,339,39,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,7,34,248010FF00FF7022
1755699741.904472,339,40,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,8,50,248010FF00FF8032
1755699741.914436,339,41,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,9,66,248010FF00FF9042
1755699741.924469,339,42,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,10,82,248010FF00FFA052
1755699741.934437,339,43,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,11,98,248010FF00FFB062
1755699741.944478,339,44,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,12,114,248010FF00FFC072
1755699741.954438,339,45,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,13,130,248010FF00FFD082
1755699741.964459,339,46,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,14,146,248010FF00FFE092
1755699741.974433,339,47,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,0,178,248010FF00FF00B2
1755699741.984458,339,48,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,1,194,248010FF00FF10C2
1755699741.994442,339,49,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,2,210,248010FF00FF20D2
1755699742.004648,339,50,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,3,226,248010FF00FF30E2
1755699742.014594,339,51,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,4,242,248010FF00FF40F2
1755699742.02448,339,52,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,5,2,248010FF00FF5002
1755699742.034446,339,53,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,6,18,248010FF00FF6012
1755699742.044458,339,54,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,7,34,248010FF00FF7022
1755699742.054444,339,55,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,8,50,248010FF00FF8032
1755699742.064468,339,56,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,9,66,248010FF00FF9042
1755699742.074449,339,57,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,10,82,248010FF00FFA052
1755699742.084488,339,58,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,11,98,248010FF00FFB062
1755699742.094446,339,59,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,12,114,248010FF00FFC072
1755699742.104707,339,60,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,13,130,248010FF00FFD082
1755699742.114446,339,61,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,14,146,248010FF00FFE092
1755699742.124474,339,62,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,0,178,248010FF00FF00B2
1755699742.134455,339,63,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,1,194,248010FF00FF10C2
1755699742.144477,339,64,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,2,210,248010FF00FF20D2
1755699742.154447,339,65,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,3,226,248010FF00FF30E2
1755699742.16448,339,66,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,4,242,248010FF00FF40F2
1755699742.174459,339,67,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,5,2,248010FF00FF5002
1755699742.18447,339,68,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,6,18,248010FF00FF6012
1755699742.194446,339,69,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,7,34,248010FF00FF7022
1755699742.204628,339,70,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,8,50,248010FF00FF8032
1755699742.21459,339,71,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,9,66,248010FF00FF9042
1755699742.224493,339,72,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,10,82,248010FF00FFA052
1755699742.234447,339,73,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,11,98,248010FF00FFB062
1755699742.244471,339,74,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,12,114,248010FF00FFC072
1755699742.254459,339,75,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,13,130,248010FF00FFD082
1755699742.264465,339,76,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,14,146,248010FF00FFE092
1755699742.274458,339,77,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,0,178,248010FF00FF00B2
1755699742.284483,339,78,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,1,194,248010FF00FF10C2
1755699742.294465,339,79,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,2,210,248010FF00FF20D2
1755699742.304492,339,80,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,3,226,248010FF00FF30E2
1755699742.314459,339,81,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,4,242,248010FF00FF40F2
1755699742.324477,339,82,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,5,2,248010FF00FF5002
1755699742.334457,339,83,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,6,18,248010FF00FF6012
1755699742.344498,339,84,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,7,34,248010FF00FF7022
1755699742.354458,339,85,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,8,50,248010FF00FF8032
1755699742.364495,339,86,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,9,66,248010FF00FF9042
1755699742.374466,339,87,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,10,82,248010FF00FFA052
1755699742.38448,339,88,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,11,98,248010FF00FFB062
1755699742.394458,339,89,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,12,114,248010FF00FFC072
1755699742.404487,339,90,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,13,130,248010FF00FFD082
1755699742.414571,339,91,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,14,146,248010FF00FFE092
1755699742.424495,339,92,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,0,178,248010FF00FF00B2
1755699742.43447,339,93,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,1,194,248010FF00FF10C2
1755699742.444477,339,94,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,2,210,248010FF00FF20D2
1755699742.454469,339,95,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,3,226,248010FF00FF30E2
1755699742.464482,339,96,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,4,242,248010FF00FF40F2
1755699742.474468,339,97,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,5,2,248010FF00FF5002
1755699742.484494,339,98,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,6,18,248010FF00FF6012
1755699742.494467,339,99,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,7,34,248010FF00FF7022
1755699742.504501,339,100,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,8,50,248010FF00FF8032
1755699742.514468,339,101,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,9,66,248010FF00FF9042
1755699742.5245,339,102,False,False,True,False,False,False,False,False,False,False,False,False,99.609375,0.0,10,82,248010FF00FFA052
