timestamp,iso_time,cumulative_distance_m,steering_angle_deg,angle_change_deg,distance_increment_m,vehicle_speed_mps,wheel_speed_FL_kmh,wheel_speed_FR_kmh,wheel_speed_RL_kmh,wheel_speed_RR_kmh,yaw_rate_deg_s,lateral_accel_mps2,longitudinal_accel_mps2,signal_quality_score,data_completeness,message_count
1761127496.067351,2025-10-22T11:04:56.067351,0.0,-1.7000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,33.33333333333333,1
1761127498.686939,2025-10-22T11:04:58.686939,0.5147592826849885,-1.5,0.20000000000000018,0.5147592826849885,0.7378472222222222,2.65625,2.65625,2.65625,2.65625,-0.13000000000000256,0.0,0.4399999999999995,,100.0,263
1761127499.307205,2025-10-22T11:04:59.307205,1.0246265048368108,-1.5,0.0,0.5098672221518223,0.8984375,3.3125,3.28125,3.28125,3.1875,-0.3999999999999986,0.0,0.35999999999999943,,100.0,325
1761127499.826819,2025-10-22T11:04:59.826819,1.5272083537032208,-1.1,0.3999999999999999,0.50258184886641,1.0243055555555556,3.71875,3.625,3.71875,3.65625,-0.3100000000000023,0.0,0.129999999999999,,100.0,377
1761127500.306811,2025-10-22T11:05:00.306811,2.033636051540574,-1.1,0.0,0.5064276978373532,1.089409722222222,4.0,4.0,3.9375,3.90625,0.0899999999999963,0.11999999999999922,0.3100000000000005,,100.0,425
1761127500.766702,2025-10-22T11:05:00.766702,2.556773599030243,-0.7000000000000001,0.4,0.5231375474896689,1.171875,4.28125,4.25,4.28125,4.15625,-0.4200000000000017,-0.02999999999999936,0.2400000000000002,,100.0,471
1761127501.186885,2025-10-22T11:05:01.186885,3.05927414033148,-0.7000000000000001,0.0,0.5025005413012371,1.2196180555555556,4.5,4.4375,4.46875,4.3125,-0.38000000000000256,0.0,0.20999999999999908,,100.0,513
1761127501.606865,2025-10-22T11:05:01.606865,3.581694773294858,-0.7000000000000001,0.0,0.522420632963378,1.2673611111111112,4.59375,4.625,4.59375,4.53125,-0.14999999999999858,-0.02999999999999936,0.22000000000000064,,100.0,555
1761127502.006858,2025-10-22T11:05:02.006858,4.095606398251321,-0.6000000000000001,0.09999999999999998,0.5139116249564628,1.3064236111111112,4.75,4.78125,4.75,4.65625,-0.19000000000000483,-0.0600000000000005,0.23000000000000043,,100.0,595
1761127502.386926,2025-10-22T11:05:02.386926,4.596440198106896,-0.2,0.4000000000000001,0.5008337998555747,1.3411458333333333,4.84375,4.875,4.875,4.78125,-0.0800000000000054,0.02999999999999936,0.0600000000000005,,100.0,633
1761127502.766904,2025-10-22T11:05:02.766904,5.110899439702429,0.0,0.2,0.5144592415955334,1.3671875,5.0,4.96875,4.9375,4.90625,0.1599999999999966,0.0,0.17999999999999972,,100.0,671
1761127503.146941,2025-10-22T11:05:03.146941,5.638532219454645,-0.2,-0.2,0.5276327797522162,1.401909722222222,5.0625,5.09375,5.09375,5.0,0.01999999999999602,-0.0600000000000005,0.15000000000000036,,100.0,709
1761127503.506926,2025-10-22T11:05:03.506926,6.14832896946205,0.0,0.2,0.5097967500074052,1.4279513888888888,5.25,5.21875,5.21875,5.0625,-0.4299999999999997,-0.15000000000000036,0.07000000000000028,,100.0,745
1761127503.866849,2025-10-22T11:05:03.866849,6.6672560945153245,0.0,0.0,0.5189271250532741,1.4453125,5.34375,5.21875,5.21875,5.1875,-0.30000000000000426,-0.019999999999999574,0.11999999999999922,,100.0,781
1761127504.226972,2025-10-22T11:05:04.226972,7.190241827112105,0.0,0.0,0.5229857325967808,1.4583333333333333,5.375,5.28125,5.375,5.125,-0.7199999999999989,0.1899999999999995,0.15000000000000036,,100.0,817
1761127504.587014,2025-10-22T11:05:04.587014,7.717522176810435,0.0,0.0,0.52728034969833,1.480034722222222,5.34375,5.375,5.375,5.28125,-0.6200000000000045,0.009999999999999787,0.16000000000000014,,100.0,853
1761127504.926867,2025-10-22T11:05:04.926867,8.222504076030518,0.0,0.0,0.5049818992200823,1.4930555555555556,5.46875,5.4375,5.4375,5.3125,-0.09000000000000341,0.0,0.07000000000000028,,100.0,887
1761127505.266722,2025-10-22T11:05:05.266722,8.734051140232216,0.0,0.0,0.5115470642016984,1.5060763888888888,5.5625,5.5625,5.4375,5.40625,0.01999999999999602,-0.3000000000000007,0.08999999999999986,,100.0,921
1761127505.607002,2025-10-22T11:05:05.607002,9.251002407529285,0.0,0.0,0.5169512672970686,1.519097222222222,5.625,5.59375,5.5,5.4375,-0.14000000000000057,0.14000000000000057,0.049999999999998934,,100.0,955
1761127505.946947,2025-10-22T11:05:05.946947,9.771598837234906,-0.2,-0.2,0.5205964297056216,1.5407986111111112,5.625,5.5625,5.59375,5.5,0.00999999999999801,-0.2400000000000002,0.10999999999999943,,100.0,989
1761127506.286891,2025-10-22T11:05:06.286891,10.298432459433872,0.0,0.2,0.526833622198966,1.5711805555555556,5.71875,5.6875,5.75,5.5625,-0.21000000000000085,0.049999999999998934,0.14000000000000057,,100.0,1023
1761127506.606791,2025-10-22T11:05:06.606791,10.803408558583921,0.0,0.0,0.5049760991500492,1.5928819444444444,5.8125,5.8125,5.78125,5.6875,-0.3300000000000054,0.0,0.0,,100.0,1055
1761127506.926913,2025-10-22T11:05:06.926913,11.315815460143819,0.0,0.0,0.5124069015598973,1.6059027777777777,5.875,5.9375,5.78125,5.78125,0.01999999999999602,-0.16000000000000014,0.0,,100.0,1087
