timestamp,distance_m,speed_mps,wheel_FL,wheel_FR,wheel_RL,wheel_RR,yaw_rate,lat_accel,long_accel
1761056491.118464,0.0,0.0,0.0,0.0,0.0,0.0,-0.17999999999999972,0.02999999999999936,0.019999999999999574
1761056491.138476,0.0,0.0,0.0,0.0,0.0,0.0,-0.1700000000000017,0.02999999999999936,0.02999999999999936
1761056491.158528,0.0,0.0,0.0,0.0,0.0,0.0,-0.20000000000000284,0.02999999999999936,0.02999999999999936
1761056491.178552,0.0,0.0,0.0,0.0,0.0,0.0,-0.1700000000000017,0.009999999999999787,0.009999999999999787
1761056491.198561,0.0,0.0,0.0,0.0,0.0,0.0,-0.1700000000000017,0.019999999999999574,0.049999999999998934
1761056491.218569,0.0,0.0,0.0,0.0,0.0,0.0,-0.19000000000000483,0.019999999999999574,0.019999999999999574
1761056491.238555,0.0,0.0,0.0,0.0,0.0,0.0,-0.19000000000000483,0.0,0.019999999999999574
1761056491.258552,0.0,0.0,0.0,0.0,0.0,0.0,-0.17999999999999972,0.0,0.02999999999999936
1761056491.278552,0.0,0.0,0.0,0.0,0.0,0.0,-0.20000000000000284,0.0,0.02999999999999936
1761056491.29856,0.0,0.0,0.0,0.0,0.0,0.0,-0.1700000000000017,0.019999999999999574,0.02999999999999936
1761056491.318545,0.0,0.0,0.0,0.0,0.0,0.0,-0.14999999999999858,0.009999999999999787,0.03999999999999915
1761056491.338564,0.0,0.0,0.0,0.0,0.0,0.0,-0.1700000000000017,0.009999999999999787,0.009999999999999787
1761056491.358569,0.0,0.0,0.0,0.0,0.0,0.0,-0.1600000000000037,0.019999999999999574,0.019999999999999574
1761056491.378533,0.0,0.0,0.0,0.0,0.0,0.0,-0.19000000000000483,0.0,0.009999999999999787
1761056491.39857,0.0,0.0,0.0,0.0,0.0,0.0,-0.20000000000000284,0.0,0.02999999999999936
1761056491.418564,0.0,0.0,0.0,0.0,0.0,0.0,-0.19000000000000483,0.009999999999999787,0.03999999999999915
1761056491.438532,0.0,0.0,0.0,0.0,0.0,0.0,-0.19000000000000483,0.009999999999999787,0.03999999999999915
1761056491.458558,0.0,0.0,0.0,0.0,0.0,0.0,-0.21000000000000085,0.009999999999999787,0.02999999999999936
1761056491.478538,0.0,0.0,0.0,0.0,0.0,0.0,-0.19000000000000483,0.019999999999999574,0.049999999999998934
1761056491.498562,0.0,0.0,0.0,0.0,0.0,0.0,-0.1600000000000037,0.02999999999999936,0.02999999999999936
1761056491.518541,0.0,0.0,0.0,0.0,0.0,0.0,-0.14999999999999858,0.019999999999999574,0.03999999999999915
1761056491.538563,0.0,0.0,0.0,0.0,0.0,0.0,-0.1600000000000037,0.0,0.02999999999999936
1761056491.558563,0.0,0.0,0.0,0.0,0.0,0.0,-0.14999999999999858,0.019999999999999574,0.03999999999999915
1761056491.57856,0.0,0.0,0.0,0.0,0.0,0.0,-0.14000000000000057,0.019999999999999574,0.019999999999999574
1761056491.59855,0.0,0.0,0.0,0.0,0.0,0.0,-0.20000000000000284,0.0,0.019999999999999574
1761056491.618531,0.0,0.0,0.0,0.0,0.0,0.0,-0.21000000000000085,0.009999999999999787,0.019999999999999574
1761056491.638606,0.0,0.0,0.0,0.0,0.0,0.0,-0.20000000000000284,0.019999999999999574,0.019999999999999574
1761056491.658525,0.0,0.0,0.0,0.0,0.0,0.0,-0.14999999999999858,0.02999999999999936,0.019999999999999574
1761056491.678572,0.0,0.0,0.0,0.0,0.0,0.0,-0.17999999999999972,0.009999999999999787,0.08000000000000007
1761056491.698581,0.0,0.0,0.0,0.0,0.0,0.0,-0.19000000000000483,0.0,0.009999999999999787
1761056491.718541,0.0,0.0,0.0,0.0,0.0,0.0,-0.20000000000000284,0.009999999999999787,0.03999999999999915
1761056491.738514,0.0,0.0,0.0,0.0,0.0,0.0,-0.1700000000000017,0.0,0.019999999999999574
