timestamp,message_interval_ms,angle_deg,can_id,raw_data_hex,bus_load_estimate
1761218098.878217,,27.200000000000003,688,100100079E,100.0
1761218100.368027,10.048866271972656,24.200000000000003,688,F2000507C3,100.0
1761218100.447958,9.721040725708008,21.200000000000003,688,D40007072B,100.0
1761218100.527925,9.686946868896484,18.0,688,B400090723,100.0
1761218100.578247,10.437965393066406,14.600000000000001,688,92000D0798,100.0
1761218100.618226,10.331153869628906,11.600000000000001,688,74000F077C,100.0
1761218100.66818,9.905099868774414,8.3,688,53000F07F1,100.0
1761218101.287994,9.66191291809082,11.600000000000001,688,740009072F,100.0
1761218101.347906,9.573221206665039,15.0,688,96000B0765,100.0
1761218101.398376,10.49494743347168,18.2,688,B6000D07DA,100.0
1761218103.318435,10.429859161376953,15.100000000000001,688,970001072A,100.0
1761218104.188179,9.829998016357422,12.100000000000001,688,7900010791,100.0
1761218104.418201,10.113000869750977,9.0,688,5A00040748,100.0
1761218104.53814,10.190963745117188,5.9,688,3B000607D4,100.0
1761218104.69813,10.187864303588867,2.9000000000000004,688,1D000407B4,100.0
1761218105.03845,10.432004928588867,-0.2,688,FEFF030736,100.0
1761218106.228072,9.641885757446289,-3.3000000000000003,688,DFFF0207AD,100.0
1761218107.598397,10.107994079589844,-6.300000000000001,688,C1FF0007C6,100.0
1761218112.958594,10.461091995239258,-9.5,688,A1FF05077E,100.0
1761218113.048301,9.883880615234375,-12.700000000000001,688,81FF080717,100.0
1761218113.138472,10.157108306884766,-15.9,688,61FF080780,100.0
1761218113.218464,10.116815567016602,-18.900000000000002,688,43FF090718,100.0
1761218113.318478,10.223150253295898,-22.0,688,24FF070742,100.0
1761218113.438498,10.406970977783203,-25.0,688,06FF06079E,100.0
1761218113.518587,10.285139083862305,-28.0,688,E8FE0807E6,100.0
1761218113.598584,10.453939437866211,-31.0,688,CAFE08076E,100.0
1761218113.678611,10.23411750793457,-34.0,688,ACFE0907F6,100.0
1761218113.758362,9.943962097167969,-37.300000000000004,688,8BFE0A071E,100.0
1761218113.838144,10.003089904785156,-40.400000000000006,688,6CFE090736,100.0
1761218113.928368,9.965181350708008,-43.5,688,4DFE08078F,100.0
1761218114.038444,10.107994079589844,-46.5,688,2FFE06077A,100.0
1761218114.148321,9.866952896118164,-49.7,688,0FFE0607A5,100.0
1761218114.238452,9.970903396606445,-53.0,688,EEFD08073E,100.0
1761218114.298468,10.364055633544922,-56.1,688,CFFD0A0784,100.0
1761218114.348177,9.691953659057617,-59.300000000000004,688,AFFD0C0759,100.0
1761218114.38822,9.735107421875,-62.6,688,8EFD0F071D,100.0
1761218114.428167,9.595155715942383,-65.9,688,6DFD1207C1,100.0
1761218114.468419,9.843111038208008,-69.5,688,49FD140785,100.0
1761218114.508176,9.600162506103516,-72.8,688,28FD140739,100.0
1761218114.548525,9.966135025024414,-76.5,688,03FD1407ED,100.0
1761218114.588243,9.651899337768555,-80.30000000000001,688,DDFC160721,100.0
1761218114.628164,9.567975997924805,-83.9,688,B9FC160745,100.0
1761218114.668389,9.945154190063477,-87.60000000000001,688,94FC160779,100.0
1761218114.698641,10.44011116027832,-90.60000000000001,688,76FC1707FC,100.0
1761218114.728191,9.64498519897461,-93.80000000000001,688,56FC18071F,100.0
1761218114.768226,9.6588134765625,-97.80000000000001,688,2EFC180723,100.0
1761218114.798122,9.886980056762695,-101.0,688,0EFC190746,100.0
1761218114.828237,9.838104248046875,-104.5,688,EBFB1A0749,100.0
1761218114.858351,10.1470947265625,-108.4,688,C4FB1C07AC,100.0
1761218114.888066,9.649991989135742,-112.5,688,9BFB1E071F,100.0
1761218114.908125,9.74893569946289,-115.30000000000001,688,7FFB1F0741,100.0
1761218114.928169,9.710073471069336,-118.10000000000001,688,63FB200773,100.0
1761218114.948353,9.946107864379883,-121.2,688,44FB210755,100.0
1761218114.9682,9.737968444824219,-124.4,688,24FB230737,100.0
1761218114.988191,9.768962860107422,-127.5,688,05FB240799,100.0
1761218115.008089,9.693145751953125,-130.70000000000002,688,E5FA25075B,100.0
1761218115.028187,9.788990020751953,-133.9,688,C5FA25071D,100.0
1761218115.048181,9.720087051391602,-136.70000000000002,688,A9FA24078F,100.0
1761218115.068205,9.669065475463867,-139.70000000000002,688,8BFA240761,100.0
1761218115.088144,9.637117385864258,-142.70000000000002,688,6DFA2507D3,100.0
1761218115.10816,9.737968444824219,-145.6,688,50FA240745,100.0
1761218115.128138,9.690999984741211,-148.0,688,38FA2307F7,100.0
1761218115.148129,9.577035903930664,-150.6,688,1EFA220749,100.0
1761218115.168164,9.802103042602539,-153.1,688,05FA2207CB,100.0
1761218115.188102,9.604930877685547,-155.70000000000002,688,EBF92107AD,100.0
1761218115.208067,9.599924087524414,-158.10000000000002,688,D3F920072F,100.0
1761218115.22815,9.60397720336914,-160.4,688,BCF9200751,100.0
1761218115.248129,9.66191291809082,-162.60000000000002,688,A6F91E0713,100.0
1761218115.268348,9.772062301635742,-164.8,688,90F91E0725,100.0
1761218115.288173,9.685993194580078,-167.10000000000002,688,79F91D0747,100.0
1761218115.308409,9.861946105957031,-169.3,688,63F91D0719,100.0
1761218115.328226,9.756088256835938,-171.4,688,4EF91C07DB,100.0
1761218115.348193,9.655952453613281,-173.5,688,39F91C07BD,100.0
1761218115.368235,9.572029113769531,-175.9,688,21F91C070F,100.0
1761218115.388174,9.613990783691406,-178.10000000000002,688,0BF91C0761,100.0
1761218115.408169,9.655952453613281,-180.5,688,F3F81C0723,100.0
1761218115.428359,9.818077087402344,-182.8,688,DCF81C0795,100.0
